,logical_operation,cnt,percentage,user_id
8,"('s1', 's29', 's5', 's16', 's0')",957,0.022785714285714284,user_1
4,"('s11', 's22', 's6', 's2')",918,0.021857142857142856,user_1
10,"('s11', 's6', 's30', 's15', 's24', 's44')",1435,0.034166666666666665,user_1
22,"('s14', 's48', 's10', 's24')",1945,0.04630952380952381,user_1
13,"('s16', 's9', 's49', 's17', 's43')",934,0.022238095238095237,user_1
27,"('s17', 's28', 's7')",1875,0.044642857142857144,user_1
20,"('s17', 's37', 's36', 's1', 's44', 's8')",1774,0.04223809523809524,user_1
25,"('s22', 's21', 's25', 's9', 's44', 's32')",1389,0.03307142857142857,user_1
23,"('s25', 's21', 's4')",920,0.021904761904761906,user_1
24,"('s27', 's38', 's15')",1375,0.03273809523809524,user_1
12,"('s27', 's40', 's33', 's8', 's15')",922,0.021952380952380952,user_1
11,"('s3', 's36', 's49', 's1', 's19')",1440,0.03428571428571429,user_1
17,"('s34', 's44', 's12', 's2', 's26', 's42')",902,0.021476190476190475,user_1
31,"('s34', 's9', 's44', 's27')",258,0.006142857142857143,user_1
9,"('s36', 's33', 's46')",894,0.021285714285714286,user_1
7,"('s37', 's16', 's28')",882,0.021,user_1
30,"('s37', 's22', 's31', 's1', 's7')",288,0.006857142857142857,user_1
19,"('s39', 's35', 's41', 's36', 's22', 's48')",1877,0.04469047619047619,user_1
3,"('s4', 's15', 's49')",1778,0.042333333333333334,user_1
2,"('s4', 's49', 's17')",891,0.021214285714285713,user_1
6,"('s40', 's19', 's10')",1917,0.045642857142857145,user_1
29,"('s42', 's1', 's4', 's40', 's16')",1821,0.04335714285714286,user_1
14,"('s42', 's22', 's4', 's16')",1908,0.04542857142857143,user_1
16,"('s42', 's5', 's18')",1739,0.0414047619047619,user_1
21,"('s49', 's26', 's12', 's33')",1360,0.03238095238095238,user_1
28,"('s6', 's2', 's21', 's25', 's14', 's19')",1390,0.033095238095238094,user_1
18,"('s6', 's27', 's32')",1303,0.031023809523809523,user_1
1,"('s6', 's46', 's11', 's22')",1329,0.031642857142857146,user_1
0,"('s7', 's30', 's12', 's28', 's28')",1858,0.044238095238095236,user_1
5,"('s7', 's44', 's23', 's11')",1442,0.034333333333333334,user_1
26,"('s7', 's5', 's41')",1354,0.03223809523809524,user_1
15,"('s8', 's29', 's25', 's46')",925,0.022023809523809525,user_1
